Nombre cientifico,Nombre,Familia,Origen,Sistema radicular,Parte aérea,Clima,Suelo,Forma,Tronco diám. 1.30 del piso,Altura,Copa diámetro,Follaje,"Tipo de follaje, crecimiento",Floración y fruto,Respuesta a la poda,Separación,Propagación,Longevidad,Tolerancia al smog.,Banquetas,Banquetas 0-1 mts,Banquetas 1-2 mts,Banquetas 2-5 mts,Camellones 0-1 mts,Camellones 1-2 mts,Camellones 2-4 mts,Camellones 4-o más,Glorietas grandes,Jardines Ext. grandes,Parques,Jardines,O2 producido (mg/hora por cada 100 cm² de hojas),CO2 absorbido (mg/hora por cada 100 cm² de hojas):
Acacia juliflora,Mezquite,Mimosaceae,Mexico,Pivotante.,"Tronco recto, corteza rugosa oscura, hojas compuestas, paripinnadas, oblongas de color verde grisáceo.","Templado, tolera bajas y altas temperaturas.",Se acondiciona en varios tipos de suelos.,Extendida.,"10 años: ..30 mts., 20 años: .45 mts., máxima: 70 mts.",10 años: 5 mts. 20 años: 7 mts. Máxima: 8 mts.,10 años: 3.50 mts. 20 años: 5 mts. Máxima: 8 mts.,Caducifolio.,"Mediano, lento.","Flores amarillas primavera, fruto vaina comprimida.",Mediano.,8 mts.,Por semilla.,130 años.,Buena.,No,No,No,No,No,No,No,Si,No,Si,Si,Si,15,25
Acmena smithii,Cerezo de Cayena o Eugenia,Myrtaceae,América trópical,"Pivotante, compacto y profundo.","Tronco recto, ramas delgadas y flexibles, hojas elípticas, opuestas, coriáceas brillantes de color verde oscuro.","Templado, no tolera heladas.",Se acondiciona a varios tipos de suelos.,Columnar y después irregular.,"10 años: .12 mts., 20 años: .22 mts., máxima: .30 mts.",10 años: 3 mts. 20 años: 4.50 mts. Máxima: 5 mts.,10 años: 2.5 mts. 20 años: 3.5 mts. Máxima: 4 mts.,Perenifolio.,"Denso, rápido.","Florece en primavera, fruto ovalado color rojo 3 cms.",Buena.,4 mts.,Por semilla.,No reportada en esta localidad.,Buena.,No,No,No,Si,No,No,No,Si,No,Si,Si,Si,12,18
Araucaria excelsa,Araucaria,Pinaceae,América del sur y Australia,"Pivotante, profundo.","Tronco erecto, corteza gruesa y escamosa, ramificaciones dispuestas horizontalmente, verticiladas, hojas escamosas rígidas, verde claro al inicio y oscuro cuando maduras.","Semitropical, no tolera temperaturas inferiores a – 4°c.","Profundos, buen drene y ricos en materia orgánica.",Piramidal o cónica.,"10 años: .28 mts., 20 años: .70 mts., máxima: .90 mts.",10 años: 13 mts. 20 años: 25 mts. Máxima: 40 mts.,10 años: 6 mts. 20 años: 9 mts. Máxima: 12 mts.,Perenifolio.,"Denso, mediano a lento.","Primavera, fruto grande, globoso, verde con espinas doradas.",Mala.,11 mts.,Por semilla.,110 años.,Mediana.,No,No,No,No,No,No,No,Si,No,Si,Si,Si,14,20
Arecastrum romanzoffianum,Palma Cocus Plumosa,Arecastrum romanzoffianum,Venezuela,"Fibroso, compacto.","Con estípite liso, grisáceo, a veces con ensanchamiento a diferentes alturas, hojas pinnadas, de 2-3.5 mts. de long. Numerosos folíolos estrechos, que se insertan en el raquis.","Tropical, no tolera bajas temperaturas.","Arenosos, con buen drene.",Palma.,Logra los .60 mts.,Hasta los 11 mts.,A los 5 mts.,Perenifolio.,"Mediano, rápido.","Inflorescencias de 1.5-2 mts., fruto ovoide de 3 cms.",No se debe le ocasionaría la muerte.,5 mts.,Por semilla.,"No se tiene reportado en esta localidad, 45 años bien.",Mediana.,No,No,No,Si,No,No,No,Si,No,Si,Si,Si,13,22
Bauhinia americana,Primavera Orquídea,Mimosaceae,Asia trópical,"Pivotante, extendido.","Tronco inclinado, corto, corteza con fisuras leves, hojas pecioladas, bilobuladas, enteras, duras, color verde medio.","Tropical húmedo, no resiste heladas.","Suelos profundos, buen drene, con materia orgánica.",Irregular.,Logra los .90 mts.,Alcanza los 8 mts.,Cubre los 9 mts.,Caducifolio.,"Mediano, rápido.","Flor de 5 pétalos grandes, varios colores, fruto vaina.",Buena.,9 mts.,Por semilla.,60 años.,Mediana.,No,No,No,Si,No,No,Si,Si,No,Si,Si,Si,11,19
Callistemon viminalis,Callistemo,Myrtaceae,Australia,Compacta y algo superficial.,"Tronco ramificado, ramas arqueadas y colgantes, corteza rugosa, oscura, fisurada, hojas alternas, simples, lineares o linear-lanceoladas, 7-8 cms. de long. Ápice y base agudos.","Templado, resistente a temperaturas extremas, heladas no.",Se acondiciona a varios tipos de suelos.,Irregular.,"10 años: .9 mts., 20 años: .15 mts., Máxima:.20 mts.",10 años: 2.50 mts. 20 años: 3.50 mts. Máxima: 4.50 mts.,10 años: 1.20 mts. 20 años: 2.0 mts. Máxima: 2.5 mts.,Perenifolio.,"Denso, lento.","Florece marzo-junio, fruto cápsulas leñosas.",Buena.,4.50 mts.,Por esquejes y semilla.,60 años.,Mala.,No,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,10,16
Casuarina equisetifolia,Casuarina,Casuarinaceae,Australia,"Extendido, superficial, tiene nódulos con microorganismos actomicetes que fijan nitrógeno.","Tronco recto, corteza áspera fisurada color marrón oscura, ramas erectas o algo péndulas, hojas pequeñas escamitas que cubren ramillas 7-8 escamas con nudo verticilio.","Templados, resiste vientos, heladas permanentes lo dañan.",Tolera suelos calcáreos y algo salinos pero no en pesados.,Piramidal al principio e irregular de adulto.,"10 años: .35 mts., 20 años: .70 mts., máxima:. 95 mts.",10 años: 13 mts. 20 años: 25 mts. Máxima: 35 mts.,10 años: 3.50 mts. 20 años: 4.50 mts. Máxima: 7.50 mts.,Perenifolio.,"Mediano, rápido.","Florece constantemente, fruto globoso 1 cm. diámetro.",Buena.,7 mts.,Por semilla.,80 años.,Mediana.,No,No,No,No,No,No,No,No,No,Si,Si,Si,13,21
Ceiba pentandra,Ceiba,Bombacaceae,América trópical,Extendido algo superficial.,"Tronco recto, espinoso cuando joven, las espinas estan presentes en ramas gruesas, corteza de color griz, hojas compuestas palmeadas de color verde claro.","Tropical, no tolera bajas temperaturas.","Suelos profundos, buen drene y húmedos.",Semi-redondo.,"10 años: .50 mts., 20 años: 1.80 mts., máxima: 2.50 mts.",10 años: 11 mts. 20 años: 25 mts. Máxima: 35 mts.,10 años: 10 mts. 20 años: 15 mts. Máxima: 30 mts.,Caducifolio.,"Mediano, rápido.","Blancas en ramillete, fruto como vaina contiene fibras.",Mediano.,30 mts.,Por semilla.,130 años.,Mediana.,No,No,No,No,No,No,No,No,No,Si,Si,Si,16,24
Cicnodobulus chayamansa,Chaya,Euphorbiaceae,México,"Pivotante, extendido.","Tronco recto, grueso de color gris pálido, peciolos de 10 a 20 cms. De long., glabrosas, hojas de forma variada, lobaladas de 3 a 7 cms., cordada en la base, gruesas y carnosas.","Tropical, no tolera heladas.",Se acondiciona a varios tipos de suelos.,Extendida.,Llega a medir .25 mts.,De 3 a 5 mts.,Llegando a medir hasta 6 mts.,Perenifolio.,"Denso, rápido.","Flores blancas sépalos glabradoso, puberulentos, fruto 1 cm.",Mediana.,4 mts.,Por esqueje.,30 años.,Mala.,No,No,No,Si,No,No,Si,Si,Si,Si,Si,Si,11,17
Citrus aurantium,Naranjo Agrio,Rutaceae,Asia trópical,Extendido profundo.,"Tronco recto y corto, corteza lisa color verde grisáceo, ramas jovenes color verde y con largas espinas, hojas ovalado-oblongas, acuminadas, de 7-10 cms.de log. Verde oscuro.","Subtropical, no tolera heladas.","Suelos profundos bien drenados, migajones arcillosos.",Redonda.,"10 años: .15 mts., .20 años: .25 mts., máxima: .35 mts.",10 años: 4 mts. 20 años: 5 mts. Máxima: 6 mts.,10 años: 2.50 mts. 20 años: 4 mts. Máxima: 5 mts.,Perenifolio.,"Denso, rápido.","Blancas fragantes primavera, fruto globoso aplastado.",Buena.,5 mts.,Por semilla.,100 años.,Buena.,No,No,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,12,20
